X,Y
1383,248
1383,247
1383,246
1383,245
1382,244
1382,243
1382,242
1382,241
1382,239
1382,238
1382,236
1382,233
1382,231
1382,230
1382,229
1382,228
1382,227
1382,225
1382,223
1382,222
1382,221
1382,220
1382,219
1382,218
1382,217
1382,215
1382,214
1382,213
1382,212
1382,211
1382,210
1382,209
1382,208
1382,207
1382,206
1382,205
1382,204
1382,203
1382,202
1382,201
1382,200
1382,199
1382,198
1382,197
1382,196
1382,195
1382,193
1382,192
1382,190
1382,189
1382,187
1382,186
1381,185
1381,184
1381,183
1381,182
1381,181
1381,180
1381,179
1381,178
1381,176
1381,175
1381,174
1381,173
1381,172
1381,171
1381,170
1381,168
1381,167
1381,166
1381,164
1381,163
1381,161
1381,160
1381,159
1381,158
1381,157
1381,155
1381,154
1381,153
1381,152
1381,151
1381,150
1380,149
1380,148
1380,147
1380,145
1380,144
1380,143
1380,142
1380,141
1380,140
1380,139
1380,138
1380,137
1380,136
1380,135
1380,134
1380,133
1380,132
1380,131
1379,131
1379,130
1379,129
1379,128
1379,127
1379,126
1379,125
1379,124
1379,123
1379,122
1379,121
1379,120
1379,119
1379,118
1379,117
1379,116
1378,116
1376,116
1375,116
1374,116
1373,115
1372,115
1370,114
1369,114
1368,114
1367,114
1366,113
1365,113
1364,113
1363,113
1362,113
1361,113
1360,113
1359,113
1358,113
1357,113
1356,112
1354,112
1353,112
1350,111
1349,111
1348,111
1347,111
1345,111
1344,111
1343,111
1342,111
1341,111
1339,111
1337,111
1336,111
1334,111
1333,111
1332,111
1330,111
1328,110
1327,110
1326,109
1324,109
1323,108
1322,108
1321,108
1320,108
1319,108
1318,108
1317,108
1316,108
1314,108
1312,108
1311,108
1310,108
1309,108
1307,108
1307,107
1306,106
1304,106
1303,106
1302,106
1300,106
1299,106
1298,106
1297,106
1295,106
1293,106
1292,106
1291,106
1290,106
1290,107
1289,107
1288,107
1287,107
1286,107
1284,107
1283,107
1282,107
1281,107
1279,107
1278,107
1277,107
1276,107
1274,107
1273,107
1272,107
1271,107
1270,107
1268,108
1267,108
1267,109
1266,109
1265,109
1264,109
1262,109
1260,109
1257,109
1255,110
1255,111
1254,111
1252,112
1251,112
1249,112
1248,113
1247,113
1246,113
1244,113
1243,113
1241,113
1241,114
1240,114
1238,114
1237,114
1234,114
1233,114
1232,114
1231,114
1230,114
1229,114
1228,114
1227,114
1225,114
1223,114
1222,115
1221,115
1219,115
1218,115
1216,115
1214,115
1212,115
1211,115
1210,115
1209,115
1208,115
1206,115
1204,115
1202,115
1201,114
1198,114
1196,114
1192,114
1190,114
1188,114
1185,114
1184,114
1182,114
1180,114
1179,114
1176,113
1174,113
1172,113
1170,113
1167,113
1165,113
1164,113
1163,113
1162,113
1161,113
1159,113
1157,113
1156,113
1155,113
1154,113
1153,113
1152,113
1149,113
1146,113
1145,113
1144,113
1143,113
1140,113
1139,113
1137,113
1136,113
1133,113
1131,113
1129,113
1125,113
1123,113
1120,114
